Water Use (m³),Outside Temperature (°C),Precipitation (mm),Date,Year
1.0,1.60 C,8.00 mm,2021-01-01,2021
0.5,1.20 C,6.80 mm,2021-01-02,2021
1.0,1.10 C,1.60 mm,2021-01-03,2021
1.0,1.10 C,0.00 mm,2021-01-04,2021
0.5,1.00 C,0.20 mm,2021-01-05,2021
1.0,2.00 C,0.20 mm,2021-01-06,2021
0.5,-0.60 C,0.00 mm,2021-01-07,2021
1.0,-3.50 C,0.00 mm,2021-01-08,2021
0.5,3.30 C,0.00 mm,2021-01-09,2021
1.0,1.90 C,0.00 mm,2021-01-10,2021
0.5,0.20 C,0.00 mm,2021-01-11,2021
1.0,-1.20 C,0.00 mm,2021-01-12,2021
1.0,3.10 C,0.00 mm,2021-01-13,2021
0.5,4.60 C,0.00 mm,2021-01-14,2021
1.0,5.60 C,5.00 mm,2021-01-15,2021
0.5,4.70 C,0.00 mm,2021-01-16,2021
0.5,4.20 C,0.60 mm,2021-01-17,2021
1.0,0.90 C,0.00 mm,2021-01-18,2021
1.0,0.00 C,0.60 mm,2021-01-19,2021
1.0,-2.20 C,0.00 mm,2021-01-20,2021
0.5,3.10 C,0.20 mm,2021-01-21,2021
1.0,1.00 C,0.40 mm,2021-01-22,2021
1.0,-4.80 C,0.00 mm,2021-01-23,2021
0.5,-2.70 C,0.00 mm,2021-01-24,2021
1.0,1.90 C,0.00 mm,2021-01-25,2021
0.5,-0.50 C,7.40 mm,2021-01-26,2021
1.0,-3.30 C,0.00 mm,2021-01-27,2021
2.5,-7.80 C,0.00 mm,2021-01-28,2021
1.5,-7.10 C,0.20 mm,2021-01-29,2021
0.5,-2.20 C,0.00 mm,2021-01-30,2021
1.5,-5.20 C,0.00 mm,2021-01-31,2021
1.0,-3.70 C,0.00 mm,2021-02-01,2021
0.5,-0.90 C,0.00 mm,2021-02-02,2021
1.0,0.60 C,0.00 mm,2021-02-03,2021
1.0,4.30 C,1.40 mm,2021-02-04,2021
0.5,1.70 C,5.20 mm,2021-02-05,2021
0.5,-6.00 C,0.00 mm,2021-02-06,2021
1.0,-6.20 C,0.60 mm,2021-02-07,2021
0.5,-6.50 C,0.20 mm,2021-02-08,2021
1.0,-2.70 C,1.00 mm,2021-02-09,2021
0.5,-5.30 C,0.00 mm,2021-02-10,2021
1.0,-4.70 C,0.00 mm,2021-02-11,2021
0.5,-8.30 C,1.80 mm,2021-02-12,2021
0.5,-9.10 C,2.20 mm,2021-02-13,2021
1.0,-4.00 C,0.40 mm,2021-02-14,2021
1.0,-4.20 C,3.20 mm,2021-02-15,2021
1.0,-7.00 C,8.80 mm,2021-02-16,2021
0.5,,,2021-02-17,2021
0.5,,,2021-02-18,2021
1.0,-2.50 C,7.80 mm,2021-02-19,2021
0.5,-1.80 C,0.40 mm,2021-02-20,2021
1.0,-1.50 C,0.00 mm,2021-02-21,2021
0.5,2.80 C,4.80 mm,2021-02-22,2021
1.0,4.30 C,0.20 mm,2021-02-23,2021
0.5,8.40 C,0.00 mm,2021-02-24,2021
0.5,0.90 C,0.00 mm,2021-02-25,2021
1.0,3.80 C,0.00 mm,2021-02-26,2021
0.5,5.80 C,6.20 mm,2021-02-27,2021
0.5,6.50 C,1.00 mm,2021-02-28,2021
1.0,5.40 C,0.00 mm,2021-03-01,2021
1.0,0.20 C,0.00 mm,2021-03-02,2021
1.5,7.20 C,0.00 mm,2021-03-03,2021
1.5,0.80 C,0.00 mm,2021-03-04,2021
1.0,1.60 C,0.00 mm,2021-03-05,2021
1.0,-0.20 C,0.00 mm,2021-03-06,2021
1.0,-0.40 C,0.00 mm,2021-03-07,2021
0.5,9.60 C,0.20 mm,2021-03-08,2021
0.5,10.60 C,0.00 mm,2021-03-09,2021
0.5,15.30 C,0.00 mm,2021-03-10,2021
1.0,19.30 C,2.00 mm,2021-03-11,2021
0.5,11.30 C,0.00 mm,2021-03-12,2021
0.5,5.60 C,0.00 mm,2021-03-13,2021
1.0,3.50 C,0.00 mm,2021-03-14,2021
0.5,-1.00 C,0.00 mm,2021-03-15,2021
1.0,3.50 C,0.00 mm,2021-03-16,2021
0.5,9.00 C,0.00 mm,2021-03-17,2021
0.5,6.80 C,0.40 mm,2021-03-18,2021
1.0,3.70 C,0.00 mm,2021-03-19,2021
0.5,14.90 C,0.00 mm,2021-03-20,2021
0.5,14.90 C,0.00 mm,2021-03-21,2021
0.5,16.10 C,0.00 mm,2021-03-22,2021
0.5,15.50 C,0.00 mm,2021-03-23,2021
1.0,17.60 C,0.80 mm,2021-03-24,2021
1.0,21.50 C,1.00 mm,2021-03-25,2021
0.0,10.50 C,34.60 mm,2021-03-26,2021
1.0,8.20 C,0.20 mm,2021-03-27,2021
0.5,10.10 C,6.20 mm,2021-03-28,2021
0.5,7.10 C,0.00 mm,2021-03-29,2021
1.0,20.30 C,0.00 mm,2021-03-30,2021
1.0,14.70 C,0.00 mm,2021-03-31,2021
0.5,2.60 C,0.00 mm,2021-04-01,2021
0.5,4.70 C,0.00 mm,2021-04-02,2021
0.5,9.50 C,0.00 mm,2021-04-03,2021
1.0,15.10 C,0.00 mm,2021-04-04,2021
0.5,13.50 C,0.00 mm,2021-04-05,2021
0.5,14.10 C,0.00 mm,2021-04-06,2021
1.5,17.40 C,0.00 mm,2021-04-07,2021
1.0,20.60 C,0.00 mm,2021-04-08,2021
0.5,19.50 C,0.20 mm,2021-04-09,2021
1.0,20.40 C,0.20 mm,2021-04-10,2021
0.5,16.70 C,13.40 mm,2021-04-11,2021
1.0,11.20 C,6.20 mm,2021-04-12,2021
0.5,14.50 C,0.00 mm,2021-04-13,2021
0.5,15.80 C,0.60 mm,2021-04-14,2021
1.0,8.00 C,1.80 mm,2021-04-15,2021
1.5,10.70 C,0.40 mm,2021-04-16,2021
1.0,11.90 C,0.20 mm,2021-04-17,2021
0.5,15.10 C,0.60 mm,2021-04-18,2021
1.0,17.20 C,1.60 mm,2021-04-19,2021
1.0,4.90 C,0.80 mm,2021-04-20,2021
0.5,4.60 C,3.40 mm,2021-04-21,2021
0.5,5.40 C,0.20 mm,2021-04-22,2021
1.0,19.40 C,0.00 mm,2021-04-23,2021
1.0,17.10 C,0.00 mm,2021-04-24,2021
0.5,11.40 C,1.00 mm,2021-04-25,2021
1.0,9.40 C,1.20 mm,2021-04-26,2021
0.5,13.40 C,3.60 mm,2021-04-27,2021
1.0,17.30 C,6.60 mm,2021-04-28,2021
0.5,10.80 C,13.80 mm,2021-04-29,2021
1.0,9.10 C,0.00 mm,2021-04-30,2021
0.5,13.80 C,0.00 mm,2021-05-01,2021
1.0,17.40 C,0.00 mm,2021-05-02,2021
0.5,12.80 C,2.40 mm,2021-05-03,2021
1.5,11.90 C,3.40 mm,2021-05-04,2021
0.5,12.10 C,1.20 mm,2021-05-05,2021
1.0,14.40 C,0.00 mm,2021-05-06,2021
1.0,10.10 C,0.00 mm,2021-05-07,2021
0.5,15.40 C,0.00 mm,2021-05-08,2021
1.0,12.00 C,0.00 mm,2021-05-09,2021
1.5,13.70 C,0.00 mm,2021-05-10,2021
1.0,10.70 C,0.00 mm,2021-05-11,2021
1.0,17.90 C,0.00 mm,2021-05-12,2021
1.0,20.30 C,0.00 mm,2021-05-13,2021
1.5,21.20 C,0.00 mm,2021-05-14,2021
1.0,21.80 C,0.00 mm,2021-05-15,2021
1.0,22.60 C,0.00 mm,2021-05-16,2021
1.0,23.70 C,0.00 mm,2021-05-17,2021
1.0,27.90 C,0.00 mm,2021-05-18,2021
1.5,28.00 C,0.00 mm,2021-05-19,2021
1.0,29.90 C,0.00 mm,2021-05-20,2021
3.0,31.70 C,0.00 mm,2021-05-21,2021
1.0,27.60 C,0.00 mm,2021-05-22,2021
1.5,25.00 C,0.00 mm,2021-05-23,2021
1.0,21.00 C,0.00 mm,2021-05-24,2021
1.5,33.30 C,0.00 mm,2021-05-25,2021
1.0,25.40 C,0.60 mm,2021-05-26,2021
1.0,18.70 C,0.00 mm,2021-05-27,2021
0.5,9.90 C,14.20 mm,2021-05-28,2021
1.0,15.80 C,0.00 mm,2021-05-29,2021
1.0,19.10 C,0.00 mm,2021-05-30,2021
1.0,24.40 C,0.00 mm,2021-05-31,2021
1.5,25.70 C,0.00 mm,2021-06-01,2021
1.5,25.30 C,4.40 mm,2021-06-02,2021
1.0,22.20 C,2.60 mm,2021-06-03,2021
1.0,28.20 C,0.00 mm,2021-06-04,2021
1.5,32.50 C,0.00 mm,2021-06-05,2021
1.5,33.80 C,0.00 mm,2021-06-06,2021
1.5,31.80 C,0.00 mm,2021-06-07,2021
1.0,26.50 C,10.20 mm,2021-06-08,2021
1.0,29.40 C,0.00 mm,2021-06-09,2021
1.5,25.30 C,0.00 mm,2021-06-10,2021
1.0,25.30 C,0.00 mm,2021-06-11,2021
0.5,25.40 C,0.00 mm,2021-06-12,2021
1.5,29.10 C,0.00 mm,2021-06-13,2021
1.0,25.00 C,2.80 mm,2021-06-14,2021
1.0,22.50 C,0.00 mm,2021-06-15,2021
1.5,22.30 C,0.00 mm,2021-06-16,2021
1.5,26.30 C,0.00 mm,2021-06-17,2021
1.0,24.90 C,5.40 mm,2021-06-18,2021
1.5,30.90 C,0.00 mm,2021-06-19,2021
1.0,27.10 C,0.20 mm,2021-06-20,2021
1.0,29.70 C,5.80 mm,2021-06-21,2021
1.0,19.50 C,0.00 mm,2021-06-22,2021
2.0,23.70 C,0.00 mm,2021-06-23,2021
1.5,28.10 C,0.00 mm,2021-06-24,2021
2.0,25.80 C,16.40 mm,2021-06-25,2021
2.0,27.50 C,5.60 mm,2021-06-26,2021
1.0,31.30 C,0.00 mm,2021-06-27,2021
3.0,32.20 C,3.00 mm,2021-06-28,2021
1.0,32.50 C,23.20 mm,2021-06-29,2021
1.0,28.00 C,0.40 mm,2021-06-30,2021
0.5,26.30 C,0.00 mm,2021-07-01,2021
1.0,24.70 C,24.40 mm,2021-07-02,2021
0.5,25.70 C,0.00 mm,2021-07-03,2021
2.0,25.00 C,0.00 mm,2021-07-04,2021
1.5,32.30 C,0.00 mm,2021-07-05,2021
1.5,32.30 C,0.00 mm,2021-07-06,2021
0.5,24.40 C,9.80 mm,2021-07-07,2021
1.0,18.70 C,29.00 mm,2021-07-08,2021
0.5,19.50 C,0.00 mm,2021-07-09,2021
0.5,23.60 C,0.00 mm,2021-07-10,2021
1.0,21.10 C,1.40 mm,2021-07-11,2021
1.0,25.00 C,0.00 mm,2021-07-12,2021
1.0,26.90 C,8.80 mm,2021-07-13,2021
1.0,29.50 C,0.00 mm,2021-07-14,2021
1.0,30.00 C,6.40 mm,2021-07-15,2021
1.0,24.60 C,0.00 mm,2021-07-16,2021
0.5,22.00 C,3.40 mm,2021-07-17,2021
1.0,29.40 C,0.00 mm,2021-07-18,2021
0.5,29.20 C,0.00 mm,2021-07-19,2021
1.0,,,2021-07-20,2021
1.0,24.80 C,0.00 mm,2021-07-21,2021
1.5,26.10 C,0.00 mm,2021-07-22,2021
0.0,26.10 C,0.00 mm,2021-07-23,2021
0.0,22.80 C,19.20 mm,2021-07-24,2021
0.0,30.00 C,0.00 mm,2021-07-25,2021
0.5,30.40 C,0.00 mm,2021-07-26,2021
1.0,26.10 C,5.60 mm,2021-07-27,2021
1.0,24.00 C,0.00 mm,2021-07-28,2021
0.5,27.20 C,11.40 mm,2021-07-29,2021
1.0,20.10 C,0.00 mm,2021-07-30,2021
1.0,21.50 C,1.00 mm,2021-07-31,2021
0.5,,,2021-08-01,2021
1.5,24.90 C,0.00 mm,2021-08-02,2021
1.0,27.30 C,0.00 mm,2021-08-03,2021
2.5,27.40 C,0.00 mm,2021-08-04,2021
1.5,27.80 C,0.00 mm,2021-08-05,2021
3.0,29.30 C,0.00 mm,2021-08-06,2021
1.0,27.90 C,20.40 mm,2021-08-07,2021
0.5,28.00 C,0.60 mm,2021-08-08,2021
1.5,30.90 C,0.00 mm,2021-08-09,2021
1.5,28.30 C,1.00 mm,2021-08-10,2021
1.0,32.00 C,0.40 mm,2021-08-11,2021
1.5,30.10 C,1.20 mm,2021-08-12,2021
1.0,30.10 C,0.00 mm,2021-08-13,2021
1.0,25.50 C,0.00 mm,2021-08-14,2021
1.5,23.50 C,0.00 mm,2021-08-15,2021
1.5,25.00 C,0.00 mm,2021-08-16,2021
0.5,27.40 C,0.00 mm,2021-08-17,2021
0.5,27.90 C,0.60 mm,2021-08-18,2021
1.5,31.40 C,0.00 mm,2021-08-19,2021
2.0,30.60 C,0.00 mm,2021-08-20,2021
2.5,29.90 C,0.00 mm,2021-08-21,2021
2.5,31.50 C,0.00 mm,2021-08-22,2021
2.0,32.30 C,0.00 mm,2021-08-23,2021
3.5,33.70 C,0.00 mm,2021-08-24,2021
2.0,31.90 C,0.00 mm,2021-08-25,2021
1.5,32.70 C,6.40 mm,2021-08-26,2021
3.5,26.60 C,0.00 mm,2021-08-27,2021
1.0,27.80 C,23.60 mm,2021-08-28,2021
1.0,31.50 C,3.20 mm,2021-08-29,2021
2.5,29.10 C,0.00 mm,2021-08-30,2021
1.5,25.60 C,0.00 mm,2021-08-31,2021
1.0,24.20 C,0.00 mm,2021-09-01,2021
2.5,21.50 C,0.00 mm,2021-09-02,2021
1.0,23.70 C,0.00 mm,2021-09-03,2021
2.0,24.30 C,4.80 mm,2021-09-04,2021
1.5,26.20 C,2.20 mm,2021-09-05,2021
1.0,23.40 C,3.80 mm,2021-09-06,2021
1.0,26.00 C,28.20 mm,2021-09-07,2021
1.5,25.60 C,19.60 mm,2021-09-08,2021
1.0,21.50 C,0.00 mm,2021-09-09,2021
1.5,23.80 C,0.00 mm,2021-09-10,2021
1.0,26.10 C,0.00 mm,2021-09-11,2021
1.0,23.70 C,3.00 mm,2021-09-12,2021
1.5,23.70 C,0.00 mm,2021-09-13,2021
1.0,27.90 C,25.20 mm,2021-09-14,2021
1.5,21.90 C,0.00 mm,2021-09-15,2021
1.5,22.60 C,0.00 mm,2021-09-16,2021
1.0,26.00 C,0.00 mm,2021-09-17,2021
1.0,23.50 C,0.00 mm,2021-09-18,2021
1.5,20.90 C,0.00 mm,2021-09-19,2021
1.0,23.30 C,0.00 mm,2021-09-20,2021
1.0,25.30 C,4.80 mm,2021-09-21,2021
1.0,19.40 C,56.00 mm,2021-09-22,2021
1.0,19.30 C,1.80 mm,2021-09-23,2021
1.0,16.80 C,0.00 mm,2021-09-24,2021
1.5,21.00 C,4.60 mm,2021-09-25,2021
1.0,20.50 C,3.00 mm,2021-09-26,2021
1.0,24.30 C,1.00 mm,2021-09-27,2021
1.5,16.90 C,0.00 mm,2021-09-28,2021
1.0,20.50 C,0.00 mm,2021-09-29,2021
1.0,15.40 C,0.00 mm,2021-09-30,2021
1.0,20.90 C,0.00 mm,2021-10-01,2021
2.5,25.60 C,0.20 mm,2021-10-02,2021
1.0,19.90 C,20.60 mm,2021-10-03,2021
1.0,16.00 C,3.40 mm,2021-10-04,2021
1.5,18.00 C,0.00 mm,2021-10-05,2021
1.0,18.40 C,0.00 mm,2021-10-06,2021
1.0,19.90 C,0.00 mm,2021-10-07,2021
1.0,20.40 C,0.00 mm,2021-10-08,2021
0.5,20.20 C,11.00 mm,2021-10-09,2021
1.0,20.80 C,0.80 mm,2021-10-10,2021
1.5,22.30 C,0.00 mm,2021-10-11,2021
0.0,22.30 C,0.00 mm,2021-10-12,2021
1.0,21.70 C,0.00 mm,2021-10-13,2021
0.5,21.80 C,1.80 mm,2021-10-14,2021
0.5,19.40 C,8.40 mm,2021-10-15,2021
1.0,15.10 C,2.80 mm,2021-10-16,2021
0.5,15.10 C,0.00 mm,2021-10-17,2021
0.5,14.20 C,1.40 mm,2021-10-18,2021
1.0,21.10 C,0.00 mm,2021-10-19,2021
0.0,19.50 C,0.40 mm,2021-10-20,2021
1.0,17.50 C,3.00 mm,2021-10-21,2021
0.5,9.30 C,0.00 mm,2021-10-22,2021
0.5,9.60 C,0.00 mm,2021-10-23,2021
1.0,13.30 C,2.00 mm,2021-10-24,2021
0.5,8.80 C,18.20 mm,2021-10-25,2021
1.0,7.80 C,8.40 mm,2021-10-26,2021
0.5,16.10 C,0.00 mm,2021-10-27,2021
0.5,10.10 C,0.00 mm,2021-10-28,2021
0.5,13.50 C,10.20 mm,2021-10-29,2021
0.5,9.60 C,9.00 mm,2021-10-30,2021
0.5,15.10 C,0.20 mm,2021-10-31,2021
1.0,10.40 C,0.00 mm,2021-11-01,2021
0.5,8.90 C,0.00 mm,2021-11-02,2021
1.0,7.60 C,0.00 mm,2021-11-03,2021
1.5,8.50 C,0.00 mm,2021-11-04,2021
0.5,10.20 C,0.00 mm,2021-11-05,2021
1.0,11.60 C,0.00 mm,2021-11-06,2021
0.5,16.40 C,0.00 mm,2021-11-07,2021
0.5,19.10 C,0.00 mm,2021-11-08,2021
1.0,14.00 C,2.60 mm,2021-11-09,2021
0.5,13.00 C,0.00 mm,2021-11-10,2021
1.0,13.50 C,0.60 mm,2021-11-11,2021
1.0,12.40 C,0.40 mm,2021-11-12,2021
1.0,7.60 C,0.00 mm,2021-11-13,2021
0.5,4.80 C,8.20 mm,2021-11-14,2021
1.0,5.80 C,0.40 mm,2021-11-15,2021
0.5,5.90 C,0.00 mm,2021-11-16,2021
0.5,16.90 C,0.60 mm,2021-11-17,2021
0.5,15.10 C,0.20 mm,2021-11-18,2021
0.5,6.10 C,0.00 mm,2021-11-19,2021
1.0,5.90 C,0.00 mm,2021-11-20,2021
1.0,8.00 C,5.00 mm,2021-11-21,2021
0.5,3.80 C,0.00 mm,2021-11-22,2021
0.5,3.90 C,0.00 mm,2021-11-23,2021
0.5,8.70 C,0.60 mm,2021-11-24,2021
1.0,7.50 C,5.80 mm,2021-11-25,2021
0.5,3.60 C,0.00 mm,2021-11-26,2021
0.5,1.40 C,0.20 mm,2021-11-27,2021
1.0,-1.00 C,11.00 mm,2021-11-28,2021
0.5,0.40 C,0.40 mm,2021-11-29,2021
0.5,2.80 C,2.20 mm,2021-11-30,2021
0.5,5.00 C,0.00 mm,2021-12-01,2021
1.0,10.50 C,1.00 mm,2021-12-02,2021
0.5,1.50 C,0.00 mm,2021-12-03,2021
1.0,5.20 C,0.00 mm,2021-12-04,2021
0.5,4.10 C,17.60 mm,2021-12-05,2021
0.5,11.20 C,2.00 mm,2021-12-06,2021
1.0,-1.60 C,0.20 mm,2021-12-07,2021
1.0,-1.00 C,2.20 mm,2021-12-08,2021
0.5,0.00 C,1.80 mm,2021-12-09,2021
0.5,5.60 C,0.00 mm,2021-12-10,2021
1.0,17.90 C,21.60 mm,2021-12-11,2021
0.5,6.90 C,0.00 mm,2021-12-12,2021
0.5,9.30 C,0.00 mm,2021-12-13,2021
0.5,6.80 C,0.00 mm,2021-12-14,2021
1.0,12.90 C,0.60 mm,2021-12-15,2021
0.5,17.10 C,0.00 mm,2021-12-16,2021
1.0,5.20 C,0.00 mm,2021-12-17,2021
0.0,0.30 C,8.20 mm,2021-12-18,2021
1.0,0.00 C,0.00 mm,2021-12-19,2021
1.0,0.00 C,0.00 mm,2021-12-20,2021
0.5,3.40 C,0.00 mm,2021-12-21,2021
1.0,3.50 C,0.60 mm,2021-12-22,2021
0.5,-0.50 C,4.40 mm,2021-12-23,2021
1.0,2.80 C,0.20 mm,2021-12-24,2021
1.0,7.00 C,3.60 mm,2021-12-25,2021
1.0,3.20 C,0.00 mm,2021-12-26,2021
0.5,0.10 C,3.60 mm,2021-12-27,2021
1.0,2.30 C,0.20 mm,2021-12-28,2021
0.0,2.20 C,0.20 mm,2021-12-29,2021
0.5,2.20 C,0.00 mm,2021-12-30,2021
0.0,,,2021-12-31,2021
